1,Sellyme,22229
2,TheRubyMoon,15165
3,Gilbster,13402
4,Grace,13291
5,TheBrain,10816
6,Undead,8134
7,BrownDuck14,7355
8,Jakilutra,7024
9,Nuke,6841
10,wheatrich,6719
11,BlueDragon43,6390
12,Really_Tall,6036
13,MKDSLuke,5418
14,NintendoS.T.A.R.,5283
15,Sniwott,5275
16,MegaSephiroth47,5231
17,AlexW03,5192
18,evanmrob,5110
19,bman7,4965
20,Magiclapras,4943
21,Telna,4933
22,brendangelo,4760
23,F1Krazy,4522
24,Vallu,4490
25,nicole12,4403
26,Mandalore,4119
27,YoyoYoshi,3896
28,mimosa,3877
29,PsyMar,3819
30,Otterstone,3749
31,HyperSonic7701,3629
32,Nielske,3524
33,Levyorg,3287
34,Emperor91,3174
35,Muchietan,3145
36,Warrn,3018
37,Lafungo,3014
38,Cirion02,2988
39,Jacob1,2930
40,DiamondN1nja,2779
41,AntoninZeKing,2706
42,Djon,2697
43,Snowy,2537
44,Marth996,2535
45,JeroenSch,2477
46,IronInvoker47,2409
47,Dmo1123,2191
48,RJAIN,2177
49,Groudon199,2048
50,swf89,1981
51,Demolition14,1915
52,MBuckets,1881
53,AltarOfDelirium,1856
54,PAPIOL,1834
55,Gamechamp,1816
56,955561976,1759
57,fayethesmol,1619
58,Crispy23,1604
59,Nim,1554
60,Funguy161,1551
61,SadisticMystic,1525
62,Comical,1519
63,Phillius,1461
64,Pokemonmaster888,1436
65,Egorbig14,1435
66,Manucoel,1430
67,33TAILS,1414
68,Zimbo,1409
69,DarQMassacres,1370
70,mumei,1322
71,Zord,1301
72,wiki,1283
73,zaldor,1268
74,PMniac,1267
75,Yoshifan98,1242
76,Shadeheart,1233
77,ScienceTynan,1229
78,SaimeZX,1207
79,hfactor66,1204
80,ThePandaEmperor,1139
81,hotdogturtle,1135
82,Lucario,1125
83,FlamezOfGamez,1122
84,silkychris999,1116
85,UltraSonic,1110
86,Nate,1086
87,Walnut,1065
88,Snatch,1064
89,yicestmoi,1044
90,alexpenev,996
91,sausage948,992
92,CodyC95,985
93,TheFunHouse,980
94,MetaKnight454,974
95,BigFish,970
96,Smoka,938
97,Hornlitz,893
98,Kirby54,872
99,Apple,870
100,Chlorate,857
