1,Sellyme,11471401
2,Gilbster,5519372
3,Walnut,3993706
4,wiki,2683269
5,Dmo1123,2567727
6,evanmrob,2473611
7,Nielske,2377401
8,Muchietan,2339872
9,Mandalore,2128878
10,Grace,2061267
11,Magiclapras,1800223
12,Really_Tall,1595976
13,Jakilutra,1545927
14,BlueDragon43,1479568
15,nicole12,1441568
16,muziqaz,1398888
17,TheRubyMoon,1335439
18,Lafungo,1296198
19,YoyoYoshi,1287130
20,Undead,1279326
21,Groudon199,1256627
22,bman7,1234759
23,NintendoS.T.A.R.,1164425
24,PAPIOL,1069565
25,Levyorg,1019237
26,BrownDuck14,1017228
27,Zord,995007
28,mimosa,972925
29,MegaSephiroth47,905257
30,MKDSLuke,902507
31,Sniwott,859603
32,F1Krazy,848260
33,TheBrain,847667
34,Otterstone,775799
35,JeroenSch,743777
36,Vallu,638961
37,SamuraiGoroh,549043
38,MBuckets,526514
39,aelogan,521936
40,Ikkatosh23,508782
41,HW456,421428
42,CalvinLP,414741
43,IronInvoker47,412138
44,Djon,365199
45,ScienceTynan,353315
46,AlexW03,347081
47,Speedrunner,343807
48,Nuke,319466
49,Yoshistar95,287048
50,Manucoel,253651
51,hotdogturtle,235664
52,silkychris999,227460
53,955561976,221243
54,FROGO,182523
55,Crispy23,168450
56,Warrn,163952
57,herpingyoshi,157649
58,Comical,134279
59,Zimbo,127472
60,wheatrich,121420
61,ScarletWings92,118164
62,PsyMar,115284
63,swf89,110171
64,Folkius,102255
65,xPrincessKiarax,100899
66,RJAIN,90365
67,brett6,90064
68,Phillius,89497
69,ThePandaEmperor,87400
70,Sokaren,78256
71,Desidious,68913
72,satori1707,61210
73,Petrarca,57578
74,FetaccineAlfredo,53405
75,AntoninZeKing,53121
76,Telna,50227
77,DiamondN1nja,47247
78,Marth996,47201
79,RHVGamer,44818
80,Hornlitz,44138
81,Smoka,43124
82,Emperor91,40246
83,TheFunHouse,37558
84,Gamechamp,36387
85,LeoMK,31649
86,Snowy,31281
87,speedruntrainer,30749
88,TanorFaux,27110
89,Dktsunami2,25911
90,DarQMassacres,25904
91,VirtualRacer96,25877
92,Yuri,25806
93,McKiddy,24108
94,DigitalDetective47,21729
95,HarpieKing,21643
96,Egorbig14,21264
97,MelonGx,21240
98,Potatoman9,20854
99,oogachaga,19288
100,Funguy161,19268
