1,Grace,3094
2,Sellyme,3066
3,HyperSonic7701,3036
4,Emperor91,1531
5,Akirry,1526
6,AltarOfDelirium,1510
7,Groudon199,1342
8,AlexW03,1311
9,Pokemonmaster888,1277
10,Otterstone,1240
11,Gilbster,1223
12,PsyMar,1210
13,hfactor66,1157
14,Snowy,1146
15,UltraSonic,1114
16,SaimeZX,1042
17,TheRubyMoon,1041
18,IronInvoker47,1035
19,Telna,987
20,Undead,960
21,Lucario,944
22,IceyFlames,904
23,Nate,875
24,Yoshifan98,872
25,yicestmoi,870
26,NintendoS.T.A.R.,829
27,FocusSight,815
28,MetaKnight454,794
29,Jxcxb91,788
30,Magiclapras,787
31,Djon,774
32,Kirby54,765
33,DarkspinesSonic,754
34,mumei,753
35,AntoninZeKing,744
36,Dawid8404,739
37,zaldor,726
38,Apple,708
39,greenstarlover,632
40,bertin,632
41,Nim,630
42,Joselle_Astrid,593
43,SilentThunder,577
44,sonic2903,569
45,luigikart64,564
46,Gamechamp,563
47,PMniac,561
48,sausage948,530
49,Miles,526
50,SuprRooster,514
51,glukkers,514
52,FlyingFox,509
53,Crono,509
54,Cremdogz,505
55,Warrn,503
56,floan,500
57,EdwardBottle,489
58,YoyoYoshi,488
59,Zimer,486
60,TheBrain,478
61,SB737,467
62,packattack,465
63,MBuckets,463
64,chackoman15379,462
65,yodelerty,443
66,RingRush,439
67,charrac,427
68,Ayron,421
69,alexpenev,407
70,swf89,401
71,955561976,399
72,Rambler,383
73,ScienceTynan,383
74,33TAILS,367
75,DiamondN1nja,363
76,Vini64,362
77,Vallu,362
78,spookisfat,354
79,Bump,350
80,TheMH,339
81,Zezinho,331
82,iGen,325
83,Uro,322
84,Crispy23,317
85,yoshi24kobe,316
86,salyanbey,315
87,SadisticMystic,314
88,MegaSephiroth47,310
89,xXMegaManXx,299
90,ThumbsOfSteel,292
91,ACPlay18,290
92,Klar,288
93,galaxybrawl,288
94,slowbro,286
95,Anwonu,285
96,StephenDW,283
97,mimosa,282
98,ActuallyImJerome,278
99,jdaster64,277
100,Smoka,276
