1,Sellyme,5709421
2,Gilbster,2372498
3,Muchietan,2033736
4,Mandalore,1738485
5,Nielske,1568388
6,BlueDragon43,1527893
7,Jakilutra,1335492
8,wiki,1217310
9,Undead,1187104
10,Groudon199,1121520
11,YoyoYoshi,1113952
12,Grace,1112594
13,nicole12,1035288
14,Really_Tall,1008137
15,BrownDuck14,997873
16,mimosa,927617
17,Magiclapras,915458
18,Levyorg,893554
19,MKDSLuke,818014
20,TheRubyMoon,777772
21,Otterstone,736927
22,JeroenSch,677851
23,Zord,654411
24,MegaSephiroth47,642269
25,Sniwott,635929
26,NintendoS.T.A.R.,542915
27,Vallu,527895
28,MBuckets,525578
29,TheBrain,471878
30,F1Krazy,463703
31,aelogan,463551
32,Ikkatosh23,452689
33,HW456,388430
34,CalvinLP,363144
35,IronInvoker47,329639
36,ScienceTynan,324374
37,Djon,316417
38,Speedrunner,304276
39,evanmrob,285584
40,AlexW03,281887
41,Lafungo,280625
42,SamuraiGoroh,279291
43,Yoshistar95,246936
44,bman7,243475
45,Nuke,241977
46,Manucoel,232804
47,hotdogturtle,216807
48,955561976,173377
49,silkychris999,158510
50,FROGO,147958
51,Warrn,142307
52,Crispy23,142196
53,herpingyoshi,138437
54,PAPIOL,135489
55,Comical,125628
56,Zimbo,116041
57,wheatrich,107386
58,ScarletWings92,107008
59,ThePandaEmperor,99285
60,xPrincessKiarax,97517
61,swf89,73763
62,Sokaren,72863
63,PsyMar,65855
64,brett6,55679
65,Petrarca,54204
66,satori1707,51237
67,AntoninZeKing,49074
68,Telna,48725
69,Dmo1123,46443
70,FetaccineAlfredo,42856
71,Smoka,40465
72,Marth996,38934
73,fayethesmol,35795
74,DiamondN1nja,29624
75,Phillius,26844
76,LeoMK,26659
77,DarQMassacres,24375
78,speedruntrainer,23788
79,Dktsunami2,21926
80,MelonGx,21062
81,Yuri,20277
82,TanorFaux,19800
83,HarpieKing,19613
84,RJAIN,18817
85,Funguy161,18219
86,Gamechamp,17980
87,Chirka,15335
88,Reball,15166
89,phobiac,15018
90,McKiddy,14954
91,locks,14912
92,Potatoman9,14766
93,LolThisGame,13954
94,Hyper7777,13715
95,Mikebloke,11927
96,TheFunHouse,11746
97,Egorbig14,11498
98,SeruranBlue,11471
99,TFisher93,11105
100,GamerBee8953,10398
