1,Sellyme,11.20
2,Gilbster,10.59
3,BlueDragon43,9.64
4,Grace,9.57
5,wiki,9.46
6,TheRubyMoon,9.46
7,Magiclapras,9.45
8,MKDSLuke,9.44
9,Undead,9.41
10,MBuckets,9.20
11,Really_Tall,9.18
12,Lafungo,9.14
13,evanmrob,9.06
14,BrownDuck14,9.06
15,Muchietan,9.04
16,YoyoYoshi,8.97
17,MegaSephiroth47,8.96
18,Levyorg,8.83
19,Vallu,8.82
20,SamuraiGoroh,8.78
21,Sniwott,8.77
22,Mandalore,8.77
23,nicole12,8.76
24,Jakilutra,8.72
25,Nielske,8.64
26,mimosa,8.58
27,bman7,8.55
28,AlexW03,8.49
29,Groudon199,8.47
30,TheBrain,8.46
31,Otterstone,8.43
32,JeroenSch,8.35
33,Manucoel,8.25
34,HW456,8.13
35,IronInvoker47,8.05
36,Zord,7.99
37,Ikkatosh23,7.98
38,F1Krazy,7.96
39,ScarletWings92,7.96
40,ScienceTynan,7.93
41,NintendoS.T.A.R.,7.93
42,silkychris999,7.85
43,955561976,7.78
44,FROGO,7.75
45,Warrn,7.73
46,xPrincessKiarax,7.71
47,Zimbo,7.70
48,hotdogturtle,7.56
49,Comical,7.50
50,aelogan,7.35
51,Crispy23,7.33
52,Djon,7.29
53,PAPIOL,7.25
54,ThePandaEmperor,7.07
55,wheatrich,6.99
56,Telna,6.98
57,satori1707,6.97
58,PsyMar,6.90
59,Sokaren,6.79
60,locks,6.70
61,Speedrunner,6.64
62,Phillius,6.56
63,AntoninZeKing,6.48
64,Nuke,6.44
65,CalvinLP,6.42
66,McKiddy,6.33
67,Dmo1123,6.29
68,LeoMK,6.29
69,Yoshistar95,6.27
70,DiamondN1nja,6.19
71,FetaccineAlfredo,6.17
72,Funguy161,6.15
73,Gamechamp,6.14
74,Petrarca,6.10
75,RJAIN,6.03
76,Egorbig14,5.94
77,herpingyoshi,5.94
78,Smoka,5.89
79,fayethesmol,5.87
80,SeruranBlue,5.86
81,TFisher93,5.82
82,Cream147,5.68
83,TheFunHouse,5.64
84,speedruntrainer,5.58
85,MelonGx,5.51
86,Dktsunami2,5.47
87,Marth996,5.44
88,Reball,5.38
89,DarQMassacres,5.38
90,Burcheck,5.37
91,LeahKazuno,5.36
92,Mikebloke,5.28
93,IceyFlames,5.22
94,MrVette,5.21
95,swf89,5.17
96,Hyper7777,5.16
97,Yuri,5.13
98,Tseko,5.05
99,LoreU,4.96
100,Chlorate,4.93
