1,Sellyme,2689
2,yicestmoi,2383
3,NintendoS.T.A.R.,2241
4,Undead,1706
5,BlueDragon43,1597
6,yoshi24kobe,977
7,BCL,873
8,malkieriking,823
9,packattack,683
10,PiotrB,673
11,Silverboxer,660
12,MrVette,622
13,Emperor91,561
14,Filipjack2000,543
15,Grace,538
16,micmic85,527
17,mumei,503
18,etnasante,476
19,Ayron,464
20,MachineGryphon,448
21,Hexcus,446
22,ERROR,442
23,HyperSonic7701,428
24,Siliconian,403
25,Flothaboss,395
26,SkyImprisoned,395
27,SuprRooster,393
28,RichardTaro,387
29,Vallu,386
30,SpeedyGT,381
31,Prenz,355
32,aweejnas,348
33,33TAILS,345
34,LeahKazuno,345
35,XtremePlays,340
36,SHARK1,334
37,FUKA63,332
38,DivisionX,319
39,Starkiller,308
40,feketerigo,300
41,Nim,298
42,Loseven,297
43,MrRobTer12,291
44,SW1988,286
45,nick14,281
46,Robottobutoukai,271
47,Zimer,268
48,satori1707,268
49,STRIBBERS,267
50,Crono,262
51,CG358,261
52,Snowy,259
53,ALAKTORN,252
54,czechmate,250
55,DarkspinesSonic,249
56,DylCat,248
57,AlexW03,246
58,TheBrain,238
59,LeeBoon,235
60,blondafro,231
61,Mandalore,230
62,Alessio954,229
63,LAM,224
64,MelonGx,223
65,morimoyashi,215
66,Giant,215
67,Nielske,213
68,Cdw01,213
69,Minimariner,205
70,luigimaster06,203
71,scrap,191
72,Cpt.JJ,189
73,greycatmon,188
74,wadoludo,183
75,FocusSight,182
76,Really_Tall,178
77,speedruntrainer,178
78,Mengsk,178
79,Groudon199,173
80,nunbuhfore,172
81,mimosa,170
82,AntoninZeKing,169
83,MegaNoobee,169
84,Wo0dY,168
85,Stro,166
86,BrownDuck14,165
87,Milc,162
88,PAPIOL,158
89,brett6,158
90,UltraSonic,157
91,TheRubyMoon,156
92,Judgment,156
93,KingBoo,155
94,Snatch,154
95,izzyke,153
96,Wh0misDS,145
97,emrald,143
98,pnlhk,141
99,SpeedFreak,140
100,Crispy23,138
