1,Sellyme,33853
2,AntoninZeKing,24037
3,BlueDragon43,20892
4,HyperSonic7701,15655
5,Grace,14111
6,Undead,12500
7,BrownDuck14,11798
8,Gilbster,10612
9,yicestmoi,10393
10,Djon,8906
11,TheRubyMoon,8629
12,Emperor91,8170
13,AlexW03,7073
14,evanmrob,6861
15,YoyoYoshi,6785
16,Really_Tall,6614
17,PMniac,6580
18,Smoka,6209
19,F1Krazy,6201
20,MegaSephiroth47,6189
21,Siliconian,6140
22,Vallu,5626
23,TheBrain,5605
24,Mandalore,5259
25,nicole12,5188
26,mumei,5098
27,Sniwott,4852
28,Lucario,4813
29,speedruntrainer,4632
30,Pokemonmaster888,4555
31,PAPIOL,4528
32,LJMarv,4313
33,Telna,4296
34,ThePandaEmperor,4195
35,Zimer,4061
36,MKDSLuke,4015
37,MBuckets,3829
38,Levyorg,3649
39,Zord,3615
40,Otterstone,3589
41,Marth996,3544
42,wiki,3474
43,LeahKazuno,3452
44,Comical,3445
45,hotdogturtle,3442
46,Dmo1123,3398
47,ACPlay18,3367
48,SkyImprisoned,3342
49,Brylarke,3337
50,HW456,3332
51,Flothaboss,3219
52,Demolition14,3166
53,mimosa,3017
54,33TAILS,2972
55,packattack,2881
56,turtle730,2867
57,NintendoS.T.A.R.,2729
58,yoshi24kobe,2678
59,Rimsala,2580
60,Zimbo,2519
61,Silverboxer,2346
62,Crispy23,2282
63,Groudon199,2170
64,L3VV15,2132
65,ScarletWings92,2130
66,JeroenSch,2114
67,Acedit,2069
68,Muchietan,2020
69,Nim,1991
70,Lafungo,1981
71,Theroadrunner95,1959
72,Warrn,1946
73,Minimariner,1901
74,PsyMar,1893
75,Egorbig14,1852
76,Nillew,1833
77,Snowy,1806
78,sausage948,1717
79,MrRobTer12,1704
80,swf89,1701
81,Jacob1,1687
82,StephenDW,1685
83,MetalSmasher86,1631
84,Yoriko,1596
85,SpeedyGT,1576
86,Alessio954,1567
87,Dawid8404,1554
88,Jxcxb91,1540
89,herpingyoshi,1458
90,Gonquai,1410
91,xPrincessKiarax,1391
92,Crono,1390
93,BCL,1369
94,Hexcus,1362
95,nick14,1312
96,LeeBoon,1277
97,MistyCobalt,1261
98,Barthax,1245
99,Googolbonker,1242
100,PixeSukola,1241
