1,Siliconian,5968
2,BrownDuck14,4450
3,HyperSonic7701,4324
4,Rimsala,2567
5,mumei,1658
6,Sellyme,1573
7,AntoninZeKing,1387
8,BlueDragon43,1363
9,Pokemonmaster888,1248
10,MetalSmasher86,1180
11,IronInvoker47,1131
12,MrRobTer12,1021
13,MegaSephiroth47,1015
14,MBuckets,916
15,speedruntrainer,788
16,packattack,775
17,nick14,749
18,MKDSLuke,745
19,PMniac,729
20,YoyoYoshi,666
21,Miles,650
22,Lafungo,634
23,Yoriko,628
24,Lucario,617
25,Otterstone,610
26,BeastlyBro26,574
27,Barthax,574
28,Minimariner,548
29,Nim,521
30,Smoka,507
31,Silverboxer,492
32,Grace,474
33,Demolition14,460
34,Gamechamp,459
35,DigitalDetective47,446
36,luigimaster06,418
37,Gonquai,414
38,Rallis,396
39,Emperor91,390
40,RichardTaro,384
41,Ayrton,346
42,LeahKazuno,346
43,scrap,336
44,StephenDW,330
45,Jacob1,308
46,Matt64,286
47,hotdogturtle,268
48,Comical,259
49,Blendra,255
50,KingBoo,250
51,djsterf,245
52,Egorbig14,244
53,evanmrob,240
54,Hannes,238
55,Cpt.JJ,236
56,BlackHawk61,233
57,AlexW03,232
58,Mengsk,231
59,noxai,228
60,ChaosKnight56,225
61,maksimry,217
62,TanookiTailTony,217
63,Etch,216
64,GenoSlyde,212
65,Cmdr,210
66,SaimeZX,195
67,iMathII,194
68,earlcash05,191
69,KingSadoth,189
70,JaRoH,187
71,Jezs,186
72,Mastakirby,185
73,SeruranBlue,178
74,Frikkinfriks14,177
75,callumbal,176
76,RealmCopier,176
77,FocusSight,174
78,GroMic,174
79,Cad225,173
80,GibGirl,170
81,UchihaMadao,170
82,Nillew,170
83,Undead,166
84,davincentcode,165
85,Th3on3C,165
86,Jakilutra,163
87,MidiGuy,161
88,Chlorate,158
89,zethor,154
90,PixeSukola,153
91,Polonxy,153
92,LeeBoon,152
93,Telna,151
94,YellowRaccoon62,151
95,hfactor66,148
96,Brylarke,147
97,Pottoww,146
98,rbm276,142
99,Vallu,140
100,Mandalore,138
